855 937 329 20 707 987 418 364 226 123 | 691 290 899 50 706 47 936 139 562 223 | 979 147 676 341 989 228 751 236 128 168 | 654 555 988 849 702 761 299 798 124 782 | 67 158 117 335 850 590 360 389 416 269 | 952 251 883 872 377 296 786 381 353 203 | 72 763 962 625 49 271 595 454 8 756 | 594 337 724 829 634 361 705 588 983 698 | 922 874 322 447 788 580 175 445 490 934 | 285 566 229 907 105 753 94 840 801 308 
375 21 565 592 466 189 760 183 516 378 | 311 111 834 32 725 779 630 91 802 73 | 409 800 865 164 315 935 662 879 138 933 | 795 869 468 785 268 945 888 14 609 951 | 205 446 814 107 510 415 436 502 448 405 | 477 690 929 398 280 570 232 839 806 848 | 700 230 717 998 469 83 187 598 171 948 | 985 338 697 601 157 511 265 137 245 723 | 211 880 2 321 347 78 928 950 460 7 | 901 694 305 367 222 551 217 559 27 242 
496 859 672 423 582 35 250 914 558 612 | 993 302 640 780 797 668 925 739 333 830 | 165 853 728 86 674 48 224 680 102 720 | 885 371 864 633 583 577 426 214 564 971 | 282 969 182 467 957 629 593 29 247 529 | 202 509 46 978 652 380 362 320 149 208 | 546 476 825 140 178 918 618 647 112 439 | 704 812 783 255 114 622 736 671 248 732 | 143 823 382 494 549 332 947 873 606 234 | 844 503 28 807 99 735 330 930 194 288 
126 354 927 188 481 10 518 711 130 781 | 681 514 407 373 540 339 118 368 62 636 | 722 403 712 427 938 358 505 336 525 300 | 688 911 695 453 298 656 539 313 742 75 | 533 68 523 438 239 603 17 95 277 292 | 815 267 817 746 133 304 431 58 303 253 | 457 871 857 597 513 628 170 677 227 204 | 972 0 557 119 390 541 421 499 804 150 | 686 982 470 219 284 1 278 374 542 488 | 847 730 826 905 5 576 215 261 51 155 
508 459 617 181 604 536 399 584 57 613 | 44 774 778 821 449 456 76 766 615 596 | 534 11 272 561 898 12 366 799 297 524 | 665 790 281 657 745 852 238 434 400 877 | 819 276 535 401 379 109 31 342 824 620 | 465 543 478 585 388 88 199 589 406 986 | 554 201 773 70 641 43 519 616 121 190 | 560 213 113 273 919 349 673 40 637 528 | 38 370 891 237 397 252 771 85 3 884 | 184 350 696 768 827 25 670 36 649 146 
430 567 6 923 762 408 197 344 212 569 | 419 504 180 216 286 627 635 200 404 970 | 231 759 599 769 803 721 906 491 122 522 | 435 966 263 591 89 497 343 357 163 79 | 413 422 682 984 323 858 532 961 151 810 | 417 482 345 619 764 747 586 845 54 870 | 611 530 678 233 19 74 608 664 198 544 | 372 571 93 602 221 262 351 651 260 485 | 942 218 16 959 714 512 924 125 552 940 | 743 391 954 750 80 832 258 900 741 517 
484 176 875 437 472 904 527 498 45 414 | 462 264 65 796 306 444 193 973 621 727 | 420 63 451 452 108 765 932 386 356 754 | 579 243 487 473 716 955 492 953 82 866 | 777 903 710 441 34 142 148 325 949 661 | 689 643 526 141 893 915 324 307 317 968 | 385 856 424 846 943 192 538 980 881 98 | 917 507 713 259 926 363 793 890 136 755 | 975 156 249 479 642 719 348 177 319 287 | 894 767 359 327 692 96 37 897 159 316 
822 154 667 61 994 104 876 892 433 520 | 675 429 939 162 708 843 115 59 731 909 | 841 432 275 976 623 648 833 896 39 475 | 828 921 726 808 15 206 314 836 574 981 | 813 254 792 174 500 960 235 895 752 974 | 614 631 738 310 87 443 965 135 369 464 | 240 97 9 495 173 684 632 161 568 838 | 639 152 515 291 718 521 758 789 645 624 | 394 455 33 60 186 450 653 770 274 220 | 835 489 776 18 283 365 134 578 293 556 
703 167 868 279 110 997 842 425 412 331 | 209 889 318 587 701 545 77 84 160 463 | 257 395 4 392 941 878 659 64 650 820 | 996 548 71 241 486 144 958 646 715 153 | 831 185 605 685 964 660 887 474 289 666 | 572 809 916 531 402 553 81 537 794 816 | 169 355 990 687 471 920 862 53 42 992 | 837 547 967 787 132 411 103 506 860 912 | 882 195 999 683 393 493 729 913 679 575 | 863 734 991 483 644 69 410 120 179 461 
309 480 784 428 26 166 908 946 669 326 | 693 256 699 387 55 772 207 550 442 757 | 600 30 944 376 658 709 340 902 145 501 | 963 41 13 737 995 92 266 66 733 818 | 581 861 328 191 129 775 791 956 573 100 | 225 610 301 440 295 744 246 458 383 244 | 22 749 867 106 90 607 655 101 563 663 | 396 24 196 977 210 352 334 805 23 384 | 910 854 116 851 270 294 56 346 172 131 | 626 886 931 748 127 52 312 638 811 740 
